,Kingdom,Phylum,Class,Order,Family,Genus
ASV_V3V404508,Bacteria,Marinimicrobia_(SAR406_clade),,,,
ASV_V3V404510,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,,
ASV_V3V404531,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V404563,Bacteria,Proteobacteria,Gammaproteobacteria,,,
ASV_V3V404566,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V404570,Bacteria,Omnitrophicaeota,,,,
ASV_V3V404584,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,
ASV_V3V404613,Bacteria,Chloroflexi,Anaerolineae,,,
ASV_V3V404615,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,
ASV_V3V404617,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,
ASV_V3V404618,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfatiglans
ASV_V3V404662,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,
ASV_V3V404698,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geothermobacter
ASV_V3V404716,Bacteria,Proteobacteria,Deltaproteobacteria,,,
ASV_V3V404717,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V404741,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,
ASV_V3V404764,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_V3V404769,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,SG8-4,
ASV_V3V404770,Bacteria,,,,,
ASV_V3V404772,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,,
ASV_V3V404819,Bacteria,Chloroflexi,Dehalococcoidia,H3.93,,
